"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","100%"
"GET //",322,8,10,14,16,21,26,34,38,62,62,62
"POST /alias",163,17,19,20,21,24,28,39,48,59,59,59
"POST /profile",232,17,19,21,23,27,50,63,89,100,100,100
"POST /track",89,19,21,22,23,26,32,49,59,59,59,59
"Aggregated",806,16,18,19,21,25,31,49,59,100,100,100
